,_id,price,bedroom,bathroom,area,district,city,releaseDate,id
0,{'$oid': '65edbc48f8472f2ffaac7cad'},{'$numberLong': '2500000000'},4,3,120,BUAHBATU (MARGACINTA),KOTA BANDUNG,2024/02/23,916936298
1,{'$oid': '65edbc48f8472f2ffaac7cae'},415000000,2,1,36,KARAWANG BARAT,KAB. KARAWANG,2024/02/18,916685931
2,{'$oid': '65edbc48f8472f2ffaac7caf'},350000000,2,2,100,KARAWACI,KOTA TANGERANG,2024/03/07,917534875
3,{'$oid': '65edbc48f8472f2ffaac7cb0'},2100000000,4,3,138,SEDATI,KAB. SIDOARJO,2024/01/21,912256765
4,{'$oid': '65edbc48f8472f2ffaac7cb1'},890000000,3,2,125,COLOMADU,KAB. KARANGANYAR,2024/03/10,917703440
5,{'$oid': '65edbc48f8472f2ffaac7cb2'},{'$numberLong': '2650000000'},4,3,180,DUREN SAWIT,JAKARTA TIMUR,2024/03/10,917703409
6,{'$oid': '65edbc48f8472f2ffaac7cb3'},{'$numberLong': '14600000000'},6,7,1000,BEKASI BARAT,KOTA BEKASI,2024/03/10,912640744
7,{'$oid': '65edbc48f8472f2ffaac7cb4'},595000000,3,4,140,TAMPAN,KOTA PEKANBARU,2024/03/10,917703398
8,{'$oid': '65edbc48f8472f2ffaac7cb5'},1850000000,2,2,60,GEDEBAGE,KOTA BANDUNG,2024/03/10,917703376
9,{'$oid': '65edbc48f8472f2ffaac7cb6'},575000000,2,1,48,CILEUNYI,KAB. BANDUNG,2024/03/10,917703335
10,{'$oid': '65edbc48f8472f2ffaac7cb7'},{'$numberLong': '7000000000'},4,4,209,CILANDAK,JAKARTA SELATAN,2024/03/10,917703326
11,{'$oid': '65edbc48f8472f2ffaac7cb8'},1630000000,4,3,113,PONDOK GEDE,KOTA BEKASI,2024/03/10,912454714
12,{'$oid': '65edbc48f8472f2ffaac7cb9'},1000000000,3,2,110,PESANGGRAHAN,JAKARTA SELATAN,2024/03/10,912859480
13,{'$oid': '65edbc48f8472f2ffaac7cba'},800000000,2,2,55,TANGERANG,KOTA TANGERANG,2024/03/10,917703290
14,{'$oid': '65edbc48f8472f2ffaac7cbb'},1150000009,3,3,80,CILODONG,KOTA DEPOK,2024/03/10,917703288
15,{'$oid': '65edbc48f8472f2ffaac7cbc'},1500000000,4,4,200,PASAR REBO,JAKARTA TIMUR,2024/03/10,917703265
16,{'$oid': '65edbc48f8472f2ffaac7cbd'},497000000,1,2,50,BUNGURSARI,KOTA TASIKMALAYA,2024/02/29,917201916
17,{'$oid': '65edbc48f8472f2ffaac7cbe'},330000000,2,1,36,TEMBALANG,KOTA SEMARANG,2024/03/04,917379225
18,{'$oid': '65edbc48f8472f2ffaac7cbf'},400000000,2,1,36,CIBODAS,KOTA TANGERANG,2024/02/22,916864434
19,{'$oid': '65edbc48f8472f2ffaac7cc0'},990000000,3,2,120,LAKARSANTRI,KOTA SURABAYA,2024/02/18,799926193
20,{'$oid': '65edbc48f8472f2ffaac7cc1'},900000000,5,4,120,SUKMAJAYA,KOTA DEPOK,2024/03/10,917703263
21,{'$oid': '65edbc48f8472f2ffaac7cc2'},1325000000,4,3,90,CIPAYUNG,JAKARTA TIMUR,2024/03/10,914837294
22,{'$oid': '65edbc48f8472f2ffaac7cc3'},1350000000,2,1,123,TARUMAJAYA,KAB. BEKASI,2024/03/10,917703258
23,{'$oid': '65edbc48f8472f2ffaac7cc4'},500000000,3,2,52,BEKASI TIMUR,KOTA BEKASI,2024/03/10,911038914
24,{'$oid': '65edbc48f8472f2ffaac7cc5'},580000000,2,1,43,BEKASI TIMUR,KOTA BEKASI,2024/03/10,916086413
25,{'$oid': '65edbc48f8472f2ffaac7cc6'},200000000,5,2,400,MENGGALA,KAB. TULANG BAWANG,2024/03/10,917703199
26,{'$oid': '65edbc48f8472f2ffaac7cc7'},870000000,3,2,65,CILANGKAP,JAKARTA TIMUR,2024/03/10,916705356
27,{'$oid': '65edbc48f8472f2ffaac7cc8'},800000001,3,2,55,MUSTIKA JAYA,KOTA BEKASI,2024/03/10,917703165
28,{'$oid': '65edbc48f8472f2ffaac7cc9'},2000000000,4,3,127,MAMPANG PRAPATAN,JAKARTA SELATAN,2024/03/10,917703117
29,{'$oid': '65edbc48f8472f2ffaac7cca'},670000000,3,1,154,MENTENG,JAKARTA PUSAT,2024/03/10,913338447
30,{'$oid': '65edbc48f8472f2ffaac7ccb'},160000000,2,1,100,BANJARMASIN UTARA,KOTA BANJARMASIN,2024/03/10,917703006
31,{'$oid': '65edbc48f8472f2ffaac7ccc'},950000000,2,1,50,GADING SERPONG,KOTA TANGERANG,2024/03/10,917702964
32,{'$oid': '65edbc48f8472f2ffaac7ccd'},165000000,3,1,84,KLAPANUNGGAL,KAB. BOGOR,2024/03/09,917657275
33,{'$oid': '65edbc48f8472f2ffaac7cce'},399000008,2,2,40,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/03,916456070
